"id","movie_id","user_id","rating","user_avgRating"
1,10583,749567,4,3.753623
2,14953,2392734,5,4.495455
3,12052,480428,3,4.148325
4,12476,1261802,2,2.890796
5,948,2367304,3,3.262295
6,4777,2343520,4,3.830882
7,3870,2494075,3,3.174899
8,482,165837,3,3.06383
9,3955,2389877,4,3.372222
10,3522,1420493,4,3.886387
11,10044,2084755,4,4.594937
12,14796,2226365,4,3.421053
13,11277,1034499,4,4.075472
14,6829,1577746,4,3.648725
15,1509,2496657,1,3.298643
16,17412,1220947,5,3.250988
17,9111,1237096,4,3.585816
18,5293,1978173,5,3.374363
19,14590,378352,3,3.595238
20,12358,394793,2,2.782313
21,7545,1613378,3,4.201661
22,1470,905334,4,3.409786
23,9340,1542709,1,1.822222
24,2457,2396038,4,3.560209
25,7511,64330,4,3.530955
26,1102,2300352,3,3.231231
27,3984,335167,3,3.612536
28,5317,1076456,5,4.103896
29,13511,253783,3,3.285112
30,13651,1284557,5,3.76
31,17129,622610,3,3.718367
32,550,922332,3,3.368388
33,9788,2186639,5,4.57346
34,2128,1476805,3,3.577253
35,14185,1587431,5,3.450168
36,2372,1204323,4,3.818243
37,17703,598610,5,3.887564
38,12966,190084,4,3.559441
39,8393,2491926,3,3
40,3526,2378393,3,3.360215
41,9737,2053014,5,4.775801
42,9254,1049176,4,3.99292
43,10236,874308,4,2.887974
44,4656,1179691,5,4.008658
45,6206,1162874,3,3.815126
46,3282,1072432,4,3.430108
47,14550,1466003,4,3.92803
48,11914,299476,3,3.499139
49,14118,1392518,2,3.507778
50,2072,1753194,3,2.776261
51,17224,240705,5,4.94898
52,12317,1897476,4,3.581081
53,15563,1193743,2,3.839286
54,6760,855841,3,3.778351
55,16891,1919203,4,3.767462
56,5952,511655,3,3.536842
57,8078,484675,2,2.510787
58,10820,1025318,5,4.26534
59,12732,1040414,4,4.170012
60,12792,1324282,5,3.840278
61,12329,2205614,1,3.049423
62,15582,1428848,4,3.44406
63,17324,1226434,4,3.447552
64,3106,1365363,1,3.177778
65,7324,136455,4,3.892982
66,5570,988266,3,3.621429
67,14750,699347,5,4.834225
68,1633,739010,3,3.638095
69,1556,2069464,2,3.310167
70,3605,1616437,4,4.061862
71,9939,1592019,3,3.560831
72,13311,599328,3,3.708297
73,8851,2241399,3,3.316327
74,12155,1612138,5,4.492837
75,8171,2276659,3,2.717677
76,10379,1089630,4,3.693498
77,12338,486678,5,4.470588
78,6042,1466202,3,3.663043
79,528,1098004,2,3.266667
80,6497,2269012,3,3.890598
81,2112,2063301,3,2.829341
82,16465,1262147,3,3.569231
83,7245,489413,4,3.54399
84,5187,99961,5,4.735849
85,6771,2337014,4,2.866162
86,571,1103890,5,3.364253
87,8677,108075,5,4.454545
88,1027,2476306,3,3.626667
89,14016,2608805,4,3.613309
90,7281,896462,2,3.562424
91,14103,240989,5,3.823684
92,7627,238647,4,3.970793
93,7767,55105,5,4.272727
94,14538,1123716,4,2.097744
95,5401,512923,3,3.618421
96,4432,693292,4,3.673469
97,15919,445501,4,4.077047
98,175,846488,5,3.582677
99,11490,842706,3,3.6079
100,16415,1810030,4,3.480132
101,11013,610803,2,3.091541
102,10852,812954,3,3.70364
103,16969,1926167,4,4.008264
104,30,1435862,5,3.550562
105,9340,935009,5,4.316667
106,5277,168828,2,3.807692
107,1266,813025,5,3.712727
108,8954,94223,5,4.020173
109,187,765860,4,3.182653
110,16872,637892,5,3.916928
111,2617,1210872,2,4.201835
112,8586,1662724,3,3.036846
113,12607,1353566,5,3.68595
114,13050,132535,3,3.706731
115,7067,2058270,3,3.646154
116,7416,583628,5,3.708877
117,482,195260,5,3.858607
118,3320,2468512,4,3.113208
119,12232,694692,5,4.016142
120,14047,740142,5,4.132
121,16760,625801,3,4.117089
122,14936,1003540,5,4.466763
123,175,622830,5,3.987695
124,14250,617941,2,3.079796
125,11186,313085,4,3.633124
126,17560,1966755,5,4.255814
127,2199,1143430,2,3.318126
128,14702,1772511,5,3.710297
129,16265,1626388,3,2.694604
130,10730,1597816,4,3.3049
131,6127,57347,2,3.828938
132,6145,631465,5,4.824176
133,2554,1233695,3,3.277066
134,13207,1310177,4,3.31623
135,15394,1670081,4,3.440716
136,3198,1242799,3,3.828
137,13384,83720,5,3.507353
138,5775,2455393,4,3.322414
139,14963,522382,3,3.127889
140,14574,1508698,1,3.42
141,191,780973,5,4.076923
142,5788,922922,5,3.591228
143,16954,2054172,3,3.415493
144,13728,1850006,4,3.666667
145,9756,1749185,3,3.714286
146,6702,2472275,4,3.847273
147,10379,1346943,4,3.567496
148,12966,972203,4,3.548644
149,1145,1488100,4,4.196078
150,11315,2347548,4,3.71746
151,11771,2550239,2,3.546053
