"user_id","rating","movie_id"
424227,4.00,14621
2293973,4.00,16139
30428,5.00,3798
552009,5.00,11089
1919377,4.00,4043
701730,4.00,14410
1886706,4.00,4972
1059238,5.00,17490
250875,3.00,3648
1556614,5.00,6007
2626453,5.00,5421
118904,3.00,8379
1246805,4.00,4149
498282,3.00,15342
768391,4.00,2992
124961,3.00,15968
1707123,5.00,1220
2353113,3.00,10359
2570355,4.00,17157
1015048,3.00,1142
1913174,4.00,758
204808,4.00,1180
624645,4.00,6960
1925860,5.00,17215
1764679,3.00,14590
317504,3.00,1837
746141,2.00,9863
613020,3.00,11314
1125711,3.00,518
626660,3.00,14149
2576843,3.00,4506
1644628,2.00,4341
1056827,3.00,14621
1832200,5.00,3355
1081152,2.00,5239
2578194,5.00,10344
1679745,5.00,11903
539062,3.00,11755
1449421,4.00,3879
1255064,5.00,4306
350974,3.00,6859
2484814,4.00,5226
562773,5.00,10020
957896,3.00,11886
2297136,1.00,9531
283938,3.00,13705
2299661,5.00,1110
1829617,2.00,5318
1083129,4.00,16113
624178,2.00,14309
572011,4.00,16792
2572006,4.00,6274
1431160,3.00,14527
66293,3.00,5939
2595022,4.00,12672
656811,4.00,14702
1339320,4.00,708
159859,4.00,8644
1343009,3.00,15394
2295156,4.00,13248
1995334,3.00,3427
1373956,4.00,17129
930856,5.00,7181
759272,5.00,4266
1446333,4.00,16006
2199258,5.00,6786
2139631,3.00,4506
921860,5.00,1428
419327,5.00,6829
1976065,5.00,1590
191760,3.00,13273
2455042,3.00,8881
2446149,3.00,7971
2305590,3.00,16139
775171,3.00,16879
442370,5.00,9628
123356,5.00,17339
1895682,1.00,12099
2438440,4.00,15437
1177340,4.00,16499
1561975,4.00,15233
1116195,4.00,13081
1295041,5.00,10947
2097803,3.00,4479
2062514,3.00,14538
1152704,5.00,16262
46817,4.00,705
1336324,1.00,2660
2249379,5.00,17628
1413526,3.00,16377
1900528,2.00,4546
2636296,5.00,13195
485601,4.00,7997
2640203,4.00,13634
595337,3.00,17308
918183,4.00,7343
1177314,5.00,11218
2118374,5.00,8669
1316174,4.00,14154
2374631,3.00,3725
1741145,4.00,270
1085864,4.00,9089
717198,5.00,14550
765938,1.00,1507
493500,3.00,6449
1935323,4.00,6908
1714506,4.00,5562
538954,3.00,8384
991783,4.00,11186
1571253,5.00,11149
948099,5.00,9628
1146626,4.00,15447
2109061,2.00,5056
357961,5.00,17328
1546753,4.00,5778
1800344,4.00,4356
358947,3.00,3624
1812666,3.00,8868
632347,4.00,14407
189797,3.00,5926
438535,4.00,5414
1011301,3.00,13959
308567,4.00,30
2374608,4.00,13304
628932,2.00,9756
1622535,1.00,11451
1895874,4.00,5895
1730888,5.00,14149
2538608,2.00,3198
1163321,4.00,7635
2023244,3.00,17703
1243139,2.00,3151
935055,5.00,6475
1317252,5.00,10123
389763,3.00,9329
2614122,3.00,15151
723058,4.00,15712
841229,4.00,13035
2490170,5.00,4266
2479407,4.00,1428
1698718,5.00,4392
2516550,5.00,2200
2234943,5.00,8226
1866730,5.00,16075
2297074,4.00,2862
1190537,4.00,10212
378612,4.00,15110
2153518,3.00,9591
257966,3.00,11745
89910,3.00,7281
2131870,4.00,17088
1625122,3.00,8369
935732,3.00,14507
1785345,2.00,6736
115444,5.00,14660
727207,4.00,3285
453270,3.00,12191
570929,4.00,14780
2342914,5.00,2803
719014,3.00,5151
2510140,4.00,8376
974525,4.00,2016
2234171,2.00,16872
1072466,4.00,1861
2339033,4.00,1974
2214913,4.00,4267
1787346,3.00,6989
2631821,5.00,3864
1652541,5.00,6972
141080,2.00,197
1680926,3.00,6037
994667,4.00,17308
314018,3.00,15788
454083,3.00,15205
1667316,5.00,6859
1975635,4.00,2848
2221791,1.00,295
2629977,5.00,9189
2611386,4.00,13763
1458015,1.00,5847
1653714,4.00,15409
448724,5.00,16969
578699,4.00,3376
1681055,4.00,11283
683003,3.00,11911
727485,1.00,17580
2374568,3.00,2319
2354740,3.00,5692
2336081,3.00,6673
680507,5.00,12161
118838,5.00,4633
2014748,3.00,16858
2572710,2.00,1066
1329920,5.00,6902
2607782,4.00,6339
2395215,5.00,17355
1729469,3.00,16668
1867391,3.00,13705
1504822,5.00,14198
1820065,3.00,15457
119790,4.00,12008
2175665,3.00,9621
1669461,1.00,8387
263291,1.00,16273
2349571,3.00,7158
939674,3.00,13955
167410,4.00,4227
1954763,3.00,5033
47411,5.00,12360
2452478,2.00,17682
1520950,2.00,16459
940637,5.00,11077
1145831,3.00,12222
1033433,4.00,16721
1654549,5.00,10607
2450203,1.00,6834
1642715,3.00,9591
1340560,4.00,16825
1902838,3.00,16078
255010,4.00,4080
1490810,3.00,13082
1970257,4.00,3282
1994097,5.00,10607
1421444,2.00,12838
2351387,5.00,16721
598757,3.00,7545
488116,3.00,12869
1115285,1.00,10645
50214,2.00,5708
668855,5.00,14312
2533639,4.00,11089
2236076,3.00,1466
2223102,3.00,7221
1437407,4.00,16960
589882,4.00,3756
2422990,2.00,14274
769538,2.00,8782
2436007,4.00,12582
1768,3.00,8627
288740,5.00,1604
810762,3.00,5571
1107303,4.00,7399
2333250,4.00,8846
84248,5.00,5360
879760,4.00,9645
15121,4.00,15997
1996587,5.00,17746
1093385,5.00,7577
223302,4.00,16415
470781,4.00,9240
1211101,4.00,5862
1301819,4.00,2213
1768352,2.00,12355
1961157,3.00,1648
933104,2.00,10583
1158076,4.00,16499
2413595,4.00,4816
2399259,4.00,3713
1818548,4.00,15063
2267187,3.00,12096
835130,2.00,6844
752415,3.00,6760
1411711,2.00,14780
1727395,3.00,6302
1659043,5.00,17431
1907895,3.00,3473
2456593,3.00,7019
2591126,5.00,13673
2354740,3.00,7462
1130847,3.00,7237
1987233,3.00,10904
327122,3.00,1364
2561529,3.00,17387
1180401,4.00,7875
1406239,1.00,9340
1646553,3.00,11198
1826180,4.00,3079
1791977,4.00,7234
1358266,4.00,13128
873787,2.00,4996
484967,4.00,4306
1398139,5.00,14454
1141065,4.00,2899
1934845,4.00,17154
558924,5.00,9236
428397,3.00,2200
679042,4.00,8840
1719288,3.00,3347
708152,4.00,1771
997109,2.00,2519
109285,2.00,14317
1335775,4.00,1905
1712385,1.00,2372
2457095,3.00,8826
389078,5.00,10655
42487,3.00,13853
326279,1.00,5317
1181145,2.00,2023
2005558,3.00,12215
516721,5.00,4135
1842511,4.00,15425
2591375,4.00,5628
2132512,4.00,14103
1593061,1.00,5926
179880,3.00,12732
858294,3.00,6692
603277,3.00,11315
2163069,4.00,4705
706610,2.00,10407
1636164,4.00,15473
701443,4.00,1650
661576,4.00,571
1068656,2.00,4876
216174,2.00,11781
2308697,5.00,4996
981636,2.00,6042
503484,4.00,17292
1628459,5.00,11781
649264,2.00,15919
2515313,4.00,10734
2033819,5.00,3106
1994339,2.00,6347
1722468,3.00,15582
1389968,5.00,9340
909167,4.00,5628
360890,3.00,13748
251497,4.00,8531
962837,4.00,11214
1318562,3.00,17004
2641406,3.00,14909
624057,5.00,16879
1658172,4.00,11850
2218246,5.00,6797
471377,3.00,1174
1124528,2.00,10225
104724,2.00,12051
907948,3.00,12343
2191211,4.00,11077
2151345,4.00,14928
2221166,1.00,8301
2629996,4.00,689
829943,3.00,13486
1476902,3.00,2699
1158339,4.00,6971
1364087,5.00,6037
1030363,4.00,14443
1055593,4.00,17552
2523636,2.00,10522
1413471,4.00,378
1208622,4.00,12301
754117,3.00,2112
531469,2.00,14865
