"movie_id","AVG(rating)"
1,3.744444
2,3.538462
3,3.640461
4,2.751773
5,3.912467
6,3.086957
7,2.141304
8,3.189292
9,2.638298
10,3.177419
11,3.025381
12,3.424581
13,4.544715
14,3.025424
15,3.287719
16,3.100859
17,2.901665
18,3.783565
19,3.323364
20,3.146552
21,3.465116
22,2.251256
23,3.549342
24,2.990943
25,3.970785
26,2.791846
27,3.537313
28,3.823426
29,3.601923
30,3.761979
31,3.045872
32,4.069831
33,4.167276
34,2.710280
35,3.136145
36,3.016146
37,3.992806
38,2.046366
39,2.442049
40,2.934292
41,1.630435
42,2.322835
43,2.576923
44,3.685500
45,2.969016
46,3.805586
47,3.265034
48,3.711874
49,3.668122
50,3.030675
51,3.566667
52,3.757546
53,1.642857
54,2.981013
55,3.019789
56,3.649394
57,3.677337
58,3.612196
59,2.797030
60,2.153584
61,2.951724
62,3.625000
63,3.251366
64,2.436170
65,2.341176
66,2.295181
67,2.564460
68,4.143898
69,3.298246
70,2.725664
71,3.766602
72,3.135593
73,3.892183
74,3.177546
75,2.573394
76,4.089568
77,2.851811
78,2.941042
79,3.766230
80,2.805861
81,3.442029
82,3.034483
83,3.729273
84,3.223198
85,4.250951
86,1.959770
87,2.810345
88,3.838311
89,2.694158
90,3.499197
91,3.890877
92,3.556962
93,2.703488
94,3.679412
95,2.586652
96,3.362319
97,3.871338
98,3.915385
99,2.403226
100,2.675325
101,3.365325
102,2.738602
103,3.658654
104,3.694308
105,3.142857
106,4.093448
107,3.351942
108,3.168260
109,2.672828
110,3.033724
111,3.082665
112,2.995763
113,3.881455
114,3.370283
115,3.540091
116,3.535554
117,3.459404
118,3.432149
119,2.691489
120,2.417417
121,3.608247
122,2.908301
123,2.841912
124,2.273810
125,3.371395
126,3.198129
127,2.632886
128,3.214976
129,2.150868
130,2.232558
131,2.693295
132,3.070646
133,3.742711
134,2.132653
135,4.149606
136,2.975000
137,2.394089
138,3.940256
139,2.510417
140,2.525424
141,2.976190
142,2.813084
143,3.852399
144,3.209790
145,3.082774
146,2.423077
147,2.171875
148,3.304900
149,3.016129
150,2.882129
151,1.959538
152,3.933377
153,2.746082
154,2.922581
155,3.594427
156,3.494811
157,3.377331
158,2.657682
159,3.926380
160,3.019166
161,3.853810
162,2.965665
163,2.359788
164,2.624806
165,3.917328
166,3.556969
167,4.092864
168,3.236215
169,3.377644
170,3.174528
171,3.741320
172,3.126183
173,3.535827
174,3.322751
175,4.003484
